address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,business_id,name,byob,bikeparking,businessacceptsbitcoin,businessacceptscreditcards,caters,coatcheck,corkage,dogsallowed,drivethru,goodfordancing,goodforkids,happyhour,hastv,outdoorseating,restaurantsdelivery,restaurantsgoodforgroups,restaurantsreservations,restaurantstableservice,restaurantstakeout,smoking,wheelchairaccessible,alcohol_false,alcohol_beer_and_wine,alcohol_full_bar,byobcorkage_false,byobcorkage_yes_corkage,byobcorkage_yes_free,noiselevel_average,noiselevel_loud,noiselevel_quiet,noiselevel_very_loud,restaurantsattire_casual,restaurantsattire_dressy,restaurantsattire_formal,restaurantsattire_no_dress_code,restaurantspricerange2_$10_and_under,restaurantspricerange2_$11_to_30,restaurantspricerange2_$31_to_60,restaurantspricerange2_$61_and_over,wifi_false,wifi_free,wifi_paid,hipster,classy,intimate,trendy,casual,touristy,divey,romantic,upscale,beer_bar,thai,food_stands,salvadoran,cuban,donuts,diners,salad,irish,italian,persian_iranian,szechuan,cafes,vietnamese,turkish,tacos,chicken_shop,canadian_new,belgian,indian,moroccan,southern,pan_asian,tapas_small_plates,desserts,irish_pub,local_flavor,comfort_food,ramen,pizza,bagels,poke,fish___chips,peruvian,waffles,cantonese,falafel,american_traditional,sandwiches,french,modern_european,burgers,dim_sum,beer,brasseries,creperies,tea_rooms,jazz___blues,brazilian,street_vendors,bistros,taiwanese,chicken_wings,filipino,fast_food,vegan,breakfast___brunch,british,asian_fusion,colombian,barbeque,lounges,cheesesteaks,hungarian,kebab,arcades,seafood,bubble_tea,juice_bars___smoothies,sushi_bars,cafeteria,ice_cream___frozen_yogurt,bakeries,poutineries,soup,tapas_bars,seafood_markets,venezuelan,internet_cafes,acai_bowls,themed_cafes,hot_dogs,himalayan_nepalese,tex_mex,american_new,buffets,coffee___tea,delis,wraps,arabian,steakhouses,karaoke,cajun_creole,ethnic_food,polish,argentine,latin_american,caribbean,halal,hookah_bars,do_it_yourself_food,afghan,noodles,food,chinese,mediterranean,new_mexican_cuisine,vegetarian,food_trucks,ethiopian,spanish,german,food_delivery_services,african,korean,cocktail_bars,dive_bars,soul_food,mongolian,lebanese,middle_eastern,portuguese,malaysian,gastropubs,japanese,hot_pot,hawaiian,wine_bars,greek,sports_bars,gluten_free,pakistani,mexican,smokehouse,hakka,kosher,caterers
1017 E Apache Blvd,Tempe,AZ,85281,33.4145065,-111.9237207,2,117,1,W7hCuNdn2gzehta6eSHzgQ,Pete's Fish & Chips,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1046 Regent Pkwy, Ste 107",Fort Mill,SC,29715,35.07547553,-80.93390445,4,267,1,PlP0c_u3g-3LiWHpb2XnOQ,Lee Cafe,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3759 E Desert Inn Rd,Las Vegas,NV,89121,36.1291778,-115.0924833,5,222,1,AN0bWhisCf6LN9eHZ7DQ3w,Los Olivos Ristorante,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5115 Spring Mountain Rd, Ste 203",Las Vegas,NV,89146,36.125569,-115.210911,4.5,1142,1,AtD6B83S4Mbmq0t7iDnUVA,Veggie House,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9311 Jw Clay Blvd,Charlotte,NC,28262,35.311397,-80.7463342,3.5,124,0,ebwM2pckHieHvK6h1scuBw,Lazeez Mediterranean Grill,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500-B Central Ave,Charlotte,NC,28205,35.2202754,-80.8133228,4,1077,1,NFm869_w6cvVaWaNpAzjeA,Soul Gastrolounge,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"24 W Camelback Rd, Ste DE",Phoenix,AZ,85013,33.50978472,-112.075741,4,123,1,lpQziF9QCVZQRkxac1xzcw,Bonus Round,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1620 E 4th St,Charlotte,NC,28204,35.2125167,-80.8277877,3.5,98,1,JQWIZ8MT-VGZzO5W5XCB5Q,88 China Bistro,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601 E Thomas Rd,Phoenix,AZ,85018,33.47991,-111.982293,3,139,1,Hgy5MrIKrwRJDXnwKaCpbA,Garcia's,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
971 N Page St,Stoughton,WI,53589,42.9265263,-89.222592,4.5,60,1,crBw_Hq3gCkppirgjnIl4A,Famous Yeti's Pizza,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
