address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,business_id,name,byob,bikeparking,businessacceptsbitcoin,businessacceptscreditcards,byappointmentonly,caters,coatcheck,corkage,dogsallowed,drivethru,goodfordancing,goodforkids,happyhour,hastv,open24hours,outdoorseating,restaurantscounterservice,restaurantsdelivery,restaurantsgoodforgroups,restaurantsreservations,restaurantstableservice,restaurantstakeout,smoking,wheelchairaccessible,alcohol_false,alcohol_beer_and_wine,alcohol_full_bar,byobcorkage_false,byobcorkage_yes_corkage,byobcorkage_yes_free,noiselevel_average,noiselevel_loud,noiselevel_quiet,noiselevel_very_loud,restaurantsattire_casual,restaurantsattire_dressy,restaurantsattire_formal,restaurantsattire_no_dress_code,restaurantspricerange2_$10_and_under,restaurantspricerange2_$11_to_30,restaurantspricerange2_$31_to_60,restaurantspricerange2_$61_and_over,wifi_false,wifi_free,wifi_paid
1017 E Apache Blvd,Tempe,AZ,85281,33.4145065,-111.9237207,2,117,1,W7hCuNdn2gzehta6eSHzgQ,Pete's Fish & Chips,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"1046 Regent Pkwy, Ste 107",Fort Mill,SC,29715,35.0754755316,-80.9339044464,4,267,1,PlP0c_u3g-3LiWHpb2XnOQ,Lee Cafe,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3759 E Desert Inn Rd,Las Vegas,NV,89121,36.1291778,-115.0924833,5,222,1,AN0bWhisCf6LN9eHZ7DQ3w,Los Olivos Ristorante,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"5115 Spring Mountain Rd, Ste 203",Las Vegas,NV,89146,36.125569,-115.210911,4.5,1142,1,AtD6B83S4Mbmq0t7iDnUVA,Veggie House,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9311 Jw Clay Blvd,Charlotte,NC,28262,35.311397,-80.7463342,3.5,124,0,ebwM2pckHieHvK6h1scuBw,Lazeez Mediterranean Grill,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
169 Niagara Street,Toronto,ON,M5V,43.641948,-79.4065795,4,115,1,37kk0IW6jL7ZlxZF6k2QBg,Edulis,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1500-B Central Ave,Charlotte,NC,28205,35.2202754,-80.8133228,4,1077,1,NFm869_w6cvVaWaNpAzjeA,Soul Gastrolounge,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"24 W Camelback Rd, Ste DE",Phoenix,AZ,85013,33.5097847184,-112.0757409717,4,123,1,lpQziF9QCVZQRkxac1xzcw,Bonus Round,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1620 E 4th St,Charlotte,NC,28204,35.2125167,-80.8277877,3.5,98,1,JQWIZ8MT-VGZzO5W5XCB5Q,88 China Bistro,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
3950 Las Vegas Blvd So,Las Vegas,NV,89119,36.09327,-115.175966,2,57,1,c1JoHp602zilpDU_57DsMg,Starbucks,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
4601 E Thomas Rd,Phoenix,AZ,85018,33.47991,-111.982293,3,139,1,Hgy5MrIKrwRJDXnwKaCpbA,Garcia's,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
971 N Page St,Stoughton,WI,53589,42.9265263,-89.222592,4.5,60,1,crBw_Hq3gCkppirgjnIl4A,Famous Yeti's Pizza,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9935 Rea Rd,Charlotte,NC,28277,35.0337857,-80.8046401,3,140,1,qC9ivAdl47BcZdlbW7ffLg,18 Asian and Sushi Bar,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
30769 Pinetree Rd,Pepper Pike,OH,44124,41.462942,-81.461824,4,217,1,ErxACeMyF4hSQyGhpEt4Tw,Peppermint Thai Cuisine,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
